regime,trial,t,algorithm,two_qubit_depth,entanglement_fidelity,cp_by_kraus,trace_preservation_error,minimum_completeness_eigenvalue,support_dimension,support_cutoff,output_dimension,choi_dimension,support_trace_preservation_error,mutual_information_bits,H2_R_given_C_bits,renyi2_candidate,von_neumann_candidate,petz_minus_renyi2_candidate,petz_minus_von_neumann_candidate,rank_rho_RC,rank_rho_C,spectrum_rho_RC,spectrum_rho_C,stabilizer_dim_RC,stabilizer_dim_C,stabilizer_dim_R,stabilizer_correlation_rank_r,accessible_message_pauli_rank_in_C
none,33,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,33,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,33,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,33,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,33,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,34,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,34,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,34,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,34,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,34,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,35,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,35,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,35,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,35,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,35,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,36,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,36,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,36,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,36,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,36,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,37,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,37,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,37,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,37,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,37,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,38,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,38,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,38,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,38,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,38,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,39,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,39,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,39,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,39,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,39,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,40,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,40,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,40,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,40,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,40,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,41,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,41,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,41,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,41,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,41,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,42,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,42,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,42,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,42,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,42,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,43,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,43,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,43,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,43,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
none,43,5,petz,,0.9999999999999991,True,4.710277376051325e-16,0.9999999999999997,2,7.071067811865474e-13,512,1024,4.965068306494546e-16,0.0,1.0000000000000013,1.0000000000000009,1.0,-1.7763568394002505e-15,-8.881784197001252e-16,2,1,0.5;0.5,1,0,0,0,0,0
none,44,1,petz,,0.9999999999999996,True,6.280369834735101e-16,0.9999999999999996,32,1.7677669529663682e-13,32,64,0.0,8.881784197001252e-16,1.000000000000001,1.0000000000000007,0.9999999999999993,-1.1102230246251565e-15,2.220446049250313e-16,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
none,44,2,petz,,0.9999999999999992,True,1.0990647210786425e-15,0.9999999999999992,16,2.499999999999999e-13,64,128,1.1102230246251565e-16,1.3322676295501878e-15,1.000000000000001,1.0000000000000007,0.9999999999999991,-1.4432899320127035e-15,1.1102230246251565e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
none,44,3,petz,,0.999999999999999,True,7.850462293418876e-16,0.9999999999999994,8,3.535533905932737e-13,128,256,4.440892098500626e-16,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-1.6653345369377348e-15,-3.3306690738754696e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
none,44,4,petz,,0.9999999999999987,True,9.42055475210265e-16,0.9999999999999993,4,4.999999999999998e-13,256,512,2.220446049250313e-16,6.661338147750939e-16,1.000000000000001,1.0000000000000007,0.9999999999999996,-1.9984014443252818e-15,-8.881784197001252e-16,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
